condition	onset	duration	probeResp.corr	amplitude	trial_type
WinBig	70.3891	1.539900000000003	1.0	1	hit
WinSmall	109.6828	1.5002000000000066	1.0	1	hit
WinBig	148.1428	1.5002000000000066	1.0	1	hit
WinBig	182.1026	1.5004000000000133	1.0	1	hit
WinBig	201.5183	1.5420000000000016	1.0	1	hit
WinBig	226.4816	1.5387000000000057	1.0	1	hit
WinSmall	262.4814	1.5400000000000205	1.0	1	hit
WinSmall	274.0214	1.4995999999999867	1.0	1	hit
WinSmall	309.3984	1.5001000000000317	1.0	1	hit
WinBig	30.4284	1.6256000000000022	0.0	1	miss
WinSmall	50.9297	1.6254000000000062	0.0	1	miss
WinBig	56.4735	1.5386999999999986	0.0	1	miss
WinBig	122.6431	1.5390000000000015	0.0	1	miss
WinSmall	162.6417	1.5019000000000062	0.0	1	miss
WinSmall	220.4776	1.541799999999995	0.0	1	miss
WinSmall	243.4385	1.5833999999999833	0.0	1	miss
WinSmall	248.9384	1.5829999999999984	0.0	1	miss
WinBig	322.777	1.5389999999999873	0.0	1	miss
WinSmall	328.2359	1.5441999999999894	0.0	1	miss
WinBig	333.6948	1.5389999999999873	0.0	1	miss
