condition	onset	duration	probeResp.corr	amplitude	trial_type
WinBig	41.5852	1.6539000000000001	1.0	1	hit
WinSmall	62.4206	1.6836999999999946	1.0	1	hit
WinBig	135.7447	1.6505999999999972	1.0	1	hit
WinBig	161.6642	1.6662000000000035	1.0	1	hit
WinBig	196.1988	1.7175000000000011	1.0	1	hit
WinSmall	235.4185	1.6829000000000178	1.0	1	hit
WinBig	241.5527	1.6660000000000252	1.0	1	hit
WinSmall	258.937	1.6592999999999734	1.0	1	hit
WinSmall	264.5706	1.633100000000013	1.0	1	hit
WinSmall	278.2888	1.665800000000047	1.0	1	hit
WinSmall	326.1386	1.6689000000000078	1.0	1	hit
WinBig	339.8914	1.6827000000000112	1.0	1	hit
WinSmall	345.541	1.66700000000003	1.0	1	hit
WinBig	351.175	1.6505999999999972	1.0	1	hit
WinBig	68.0216	1.7031999999999954	0.0	1	miss
WinBig	82.2579	1.7003999999999877	0.0	1	miss
WinSmall	122.4622	1.6987000000000023	0.0	1	miss
WinSmall	176.3353	1.7293000000000234	0.0	1	miss
WinBig	216.0246	1.7095999999999947	0.0	1	miss
WinSmall	290.001	1.6875	0.0	1	miss
