condition	onset	duration	probeResp.corr	amplitude	trial_type
WinBig	47.0985	1.588799999999999	1.0	1	hit
WinSmall	184.63	1.5500000000000114	1.0	1	hit
WinBig	214.6866	1.6118999999999915	1.0	1	hit
WinBig	221.3159	1.582899999999995	1.0	1	hit
WinSmall	233.0831	1.566599999999994	1.0	1	hit
WinBig	250.9349	1.5662000000000091	1.0	1	hit
WinBig	291.7033	1.5668000000000006	1.0	1	hit
WinBig	303.4648	1.539799999999957	1.0	1	hit
WinBig	343.0868	1.58359999999999	1.0	1	hit
WinSmall	356.3054	1.602299999999957	1.0	1	hit
WinBig	66.4177	1.6377999999999986	0.0	1	miss
WinSmall	85.7531	1.6503000000000014	0.0	1	miss
WinSmall	98.5217	1.652300000000011	0.0	1	miss
WinSmall	114.224	1.6677999999999997	0.0	1	miss
WinSmall	128.0417	1.601300000000009	0.0	1	miss
WinSmall	152.5104	1.5844999999999914	0.0	1	miss
WinSmall	209.0692	1.5956000000000188	0.0	1	miss
WinBig	264.6767	1.5919000000000096	0.0	1	miss
WinSmall	277.9523	1.567100000000039	0.0	1	miss
WinBig	348.7049	1.5826999999999884	0.0	1	miss
