condition	onset	duration	probeResp.corr	amplitude	trial_type
WinSmall	42.6484	1.4968000000000004	1.0	1	hit
WinSmall	120.6482	1.5005000000000024	1.0	1	hit
WinSmall	192.6532	1.5004000000000133	1.0	1	hit
WinSmall	223.6528	1.49939999999998	1.0	1	hit
WinBig	316.6588	1.499900000000025	1.0	1	hit
WinBig	28.1437	1.5	0.0	1	miss
WinBig	36.1441	1.5002999999999957	0.0	1	miss
WinSmall	50.645	1.5004999999999953	0.0	1	miss
WinBig	56.645	1.5006999999999948	0.0	1	miss
WinBig	82.1484	1.4986999999999995	0.0	1	miss
WinBig	139.6528	1.4963999999999942	0.0	1	miss
WinSmall	162.6538	1.4967000000000041	0.0	1	miss
WinSmall	175.154	1.498800000000017	0.0	1	miss
WinBig	180.6506	1.5022000000000162	0.0	1	miss
WinSmall	216.152	1.5009000000000015	0.0	1	miss
WinBig	229.1545	1.5038999999999874	0.0	1	miss
WinBig	235.6532	1.5001000000000033	0.0	1	miss
WinSmall	255.6557	1.498599999999982	0.0	1	miss
WinSmall	305.1565	1.5004999999999882	0.0	1	miss
WinBig	311.1606	1.4968000000000075	0.0	1	miss
