condition	onset	duration	probeResp.corr	amplitude	trial_type
WinSmall	45.4576	1.639400000000002	1.0	1	hit
WinSmall	58.1983	1.6485999999999947	1.0	1	hit
WinBig	93.3462	1.6998999999999995	1.0	1	hit
WinBig	134.5519	1.7008000000000152	1.0	1	hit
WinSmall	145.8201	1.6829999999999927	1.0	1	hit
WinBig	151.4534	1.6668000000000234	1.0	1	hit
WinBig	176.4073	1.6983000000000175	1.0	1	hit
WinSmall	214.591	1.7006999999999834	1.0	1	hit
WinBig	227.8251	1.733300000000014	1.0	1	hit
WinBig	241.5932	1.6835000000000093	1.0	1	hit
WinSmall	286.38	1.648900000000026	1.0	1	hit
WinSmall	324.5818	1.6668000000000234	1.0	1	hit
WinSmall	338.3116	1.704400000000021	1.0	1	hit
WinBig	350.0468	1.699799999999982	1.0	1	hit
WinSmall	113.1827	1.7018000000000058	0.0	1	miss
WinBig	127.4341	1.700400000000002	0.0	1	miss
WinSmall	163.1718	1.6830000000000211	0.0	1	miss
WinBig	189.623	1.7169000000000096	0.0	1	miss
WinSmall	233.4761	1.6829999999999927	0.0	1	miss
WinBig	318.4421	1.6835000000000377	0.0	1	miss
