condition	onset	duration	probeResp.corr	amplitude	trial_type
WinSmall	70.9459	1.5190000000000055	1.0	1	hit
WinSmall	82.531	1.5183999999999997	1.0	1	hit
WinBig	134.2045	1.5131000000000085	1.0	1	hit
WinSmall	162.8741	1.4726	1.0	1	hit
WinBig	169.409	1.4795000000000016	1.0	1	hit
WinBig	175.4436	1.4849999999999852	1.0	1	hit
WinSmall	188.0281	1.484499999999997	1.0	1	hit
WinSmall	258.8707	1.4780999999999835	1.0	1	hit
WinSmall	269.9532	1.4799000000000433	1.0	1	hit
WinBig	275.9895	1.48539999999997	1.0	1	hit
WinBig	90.5318	1.5600999999999914	0.0	1	miss
WinSmall	114.6183	1.5587999999999909	0.0	1	miss
WinBig	151.274	1.4869999999999948	0.0	1	miss
WinBig	156.8238	1.4805000000000064	0.0	1	miss
WinBig	252.3192	1.5	0.0	1	miss
WinBig	314.6263	1.475500000000011	0.0	1	miss
WinSmall	334.1625	1.5231999999999744	0.0	1	miss
WinSmall	347.7489	1.521000000000015	0.0	1	miss
WinBig	367.8667	1.4873000000000047	0.0	1	miss
WinSmall	373.9186	1.4802999999999997	0.0	1	miss
