condition	onset	duration	probeResp.corr	amplitude	trial_type
WinBig	64.9108	1.5008000000000123	1.0	1	hit
WinSmall	83.9121	1.50030000000001	1.0	1	hit
WinSmall	111.9129	1.4987000000000137	1.0	1	hit
WinSmall	149.2464	1.5005000000000166	1.0	1	hit
WinBig	210.1263	1.502600000000001	1.0	1	hit
WinBig	245.6296	1.4964999999999975	1.0	1	hit
WinSmall	349.1319	1.5004000000000133	1.0	1	hit
WinBig	45.9102	1.4974999999999952	0.0	1	miss
WinSmall	96.4144	1.4966000000000008	0.0	1	miss
WinSmall	125.3704	1.500399999999999	0.0	1	miss
WinSmall	180.6685	1.4967000000000041	0.0	1	miss
WinSmall	204.625	1.5016999999999996	0.0	1	miss
WinBig	216.6281	1.497000000000014	0.0	1	miss
WinSmall	228.1287	1.4968999999999824	0.0	1	miss
WinBig	259.13	1.497000000000014	0.0	1	miss
WinSmall	272.1271	1.5003000000000384	0.0	1	miss
WinBig	285.6276	1.5004000000000133	0.0	1	miss
WinBig	297.128	1.5004999999999882	0.0	1	miss
WinBig	336.1302	1.500099999999975	0.0	1	miss
WinBig	341.6302	1.5274	0.0	1	miss
