condition	onset	duration	probeResp.corr	amplitude	trial_type
WinSmall	49.594	1.630200000000002	1.0	1	hit
WinSmall	74.6434	1.5994000000000028	1.0	1	hit
WinBig	80.2929	1.5840000000000032	1.0	1	hit
WinBig	93.0163	1.6114999999999924	1.0	1	hit
WinBig	175.7997	1.6614999999999895	1.0	1	hit
WinSmall	217.0336	1.5986999999999796	1.0	1	hit
WinSmall	228.2695	1.5842000000000098	1.0	1	hit
WinBig	270.0221	1.567799999999977	1.0	1	hit
WinBig	281.7567	1.566599999999994	1.0	1	hit
WinBig	295.4744	1.599899999999991	1.0	1	hit
WinBig	306.708	1.6336000000000013	1.0	1	hit
WinSmall	313.8422	1.616700000000037	1.0	1	hit
WinBig	325.093	1.5988999999999578	1.0	1	hit
WinSmall	337.3434	1.6003000000000043	1.0	1	hit
WinBig	36.3241	1.6494999999999962	0.0	1	miss
WinSmall	68.9809	1.645399999999995	0.0	1	miss
WinBig	148.7902	1.6747000000000014	0.0	1	miss
WinSmall	162.5252	1.6733999999999867	0.0	1	miss
WinSmall	183.945	1.6384999999999934	0.0	1	miss
WinSmall	202.3146	1.6041999999999916	0.0	1	miss
