condition	onset	duration	probeResp.corr	amplitude	trial_type
WinBig	53.2522	1.6026999999999987	1.0	1	hit
WinBig	72.5385	1.5688999999999993	1.0	1	hit
WinSmall	91.8388	1.5610999999999962	1.0	1	hit
WinSmall	104.5089	1.598399999999998	1.0	1	hit
WinSmall	190.5043	1.523300000000006	1.0	1	hit
WinBig	220.5392	1.5317000000000007	1.0	1	hit
WinBig	227.1753	1.5211000000000183	1.0	1	hit
WinBig	270.4636	1.526299999999992	1.0	1	hit
WinSmall	283.7163	1.5241000000000327	1.0	1	hit
WinBig	297.4675	1.5234000000000378	1.0	1	hit
WinBig	309.1353	1.5230000000000246	1.0	1	hit
WinBig	348.6742	1.5705000000000382	1.0	1	hit
WinSmall	361.9254	1.529799999999966	1.0	1	hit
WinSmall	120.261	1.5960000000000036	0.0	1	miss
WinSmall	133.9952	1.612799999999993	0.0	1	miss
WinSmall	158.3814	1.5612999999999886	0.0	1	miss
WinSmall	214.9561	1.5312000000000126	0.0	1	miss
WinSmall	238.8419	1.5628999999999849	0.0	1	miss
WinBig	256.6777	1.5611000000000104	0.0	1	miss
WinBig	354.2603	1.5688000000000102	0.0	1	miss
