condition	onset	duration	probeResp.corr	amplitude	trial_type
WinSmall	72.5925	1.6666000000000025	1.0	1	hit
WinSmall	85.3769	1.6501999999999981	1.0	1	hit
WinSmall	101.1115	1.6499999999999915	1.0	1	hit
WinSmall	139.2631	1.70089999999999	1.0	1	hit
WinBig	201.468	1.6580000000000155	1.0	1	hit
WinBig	208.0936	1.6580999999999904	1.0	1	hit
WinSmall	219.8684	1.6174999999999784	1.0	1	hit
WinBig	237.7039	1.6160999999999888	1.0	1	hit
WinBig	251.4216	1.6495999999999924	1.0	1	hit
WinSmall	264.6335	1.6878999999999564	1.0	1	hit
WinBig	278.3694	1.6992999999999938	1.0	1	hit
WinBig	329.7919	1.70089999999999	1.0	1	hit
WinBig	33.8033	1.7501999999999995	0.0	1	miss
WinBig	53.2566	1.6681000000000026	0.0	1	miss
WinSmall	114.8457	1.6663000000000068	0.0	1	miss
WinSmall	171.3049	1.7272000000000105	0.0	1	miss
WinSmall	195.7835	1.7088999999999999	0.0	1	miss
WinBig	290.0902	1.7164000000000215	0.0	1	miss
WinBig	335.4263	1.7001999999999953	0.0	1	miss
WinSmall	343.1104	1.6336999999999762	0.0	1	miss
