condition	onset	duration	probeResp.corr	amplitude	trial_type
WinSmall	96.0172	1.6995000000000005	1.0	1	hit
WinBig	116.9025	1.6658999999999935	1.0	1	hit
WinBig	123.5363	1.6492999999999967	1.0	1	hit
WinSmall	140.3865	1.6668999999999983	1.0	1	hit
WinSmall	152.6414	1.6957999999999913	1.0	1	hit
WinSmall	159.755	1.700000000000017	1.0	1	hit
WinSmall	173.4889	1.7001999999999953	1.0	1	hit
WinBig	186.6907	1.7496000000000151	1.0	1	hit
WinBig	266.5058	1.716799999999978	1.0	1	hit
WinSmall	272.6399	1.7058000000000106	1.0	1	hit
WinBig	290.0092	1.6879999999999882	1.0	1	hit
WinBig	307.3287	1.7491999999999734	1.0	1	hit
WinBig	342.0489	1.75060000000002	1.0	1	hit
WinSmall	347.6664	1.7176000000000045	1.0	1	hit
WinSmall	76.1477	1.7335000000000065	0.0	1	miss
WinBig	81.7821	1.7175000000000011	0.0	1	miss
WinBig	134.7868	1.649799999999999	0.0	1	miss
WinBig	192.8298	1.7273999999999887	0.0	1	miss
WinSmall	212.1253	1.75	0.0	1	miss
WinSmall	318.5796	1.7355999999999767	0.0	1	miss
