condition	onset	duration	probeResp.corr	amplitude	trial_type
WinBig	52.5661	1.528800000000004	1.0	1	hit
WinBig	71.8964	1.5833999999999975	1.0	1	hit
WinSmall	91.2645	1.5833000000000084	1.0	1	hit
WinSmall	103.974	1.624600000000001	1.0	1	hit
WinSmall	119.7334	1.616100000000003	1.0	1	hit
WinSmall	157.8807	1.68780000000001	1.0	1	hit
WinBig	220.0223	1.6993999999999971	1.0	1	hit
WinBig	226.6563	1.6836000000000126	1.0	1	hit
WinSmall	238.4246	1.6494000000000142	1.0	1	hit
WinBig	256.2422	1.6656999999999584	1.0	1	hit
WinBig	269.9755	1.700400000000002	1.0	1	hit
WinBig	308.75	1.6949000000000183	1.0	1	hit
WinBig	348.448	1.676300000000026	1.0	1	hit
WinBig	354.0977	1.6756000000000313	1.0	1	hit
WinSmall	361.7148	1.7006999999999834	1.0	1	hit
WinSmall	133.4268	1.6736000000000217	0.0	1	miss
WinSmall	189.9012	1.7171000000000163	0.0	1	miss
WinSmall	214.3548	1.7329999999999757	0.0	1	miss
WinSmall	283.2275	1.7159999999999513	0.0	1	miss
WinBig	296.9949	1.7163000000000466	0.0	1	miss
