condition	onset	duration	probeResp.corr	amplitude	trial_type
WinBig	69.9979	1.6033000000000044	1.0	1	hit
WinSmall	97.8683	1.5688999999999993	1.0	1	hit
WinSmall	116.7038	1.5675999999999988	1.0	1	hit
WinSmall	127.9548	1.5257000000000005	1.0	1	hit
WinSmall	134.0391	1.5230999999999995	1.0	1	hit
WinBig	159.9126	1.5708999999999946	1.0	1	hit
WinSmall	186.2466	1.5697000000000116	1.0	1	hit
WinBig	222.2159	1.6003000000000043	1.0	1	hit
WinSmall	241.6221	1.5304000000000144	1.0	1	hit
WinBig	255.3746	1.5264999999999986	1.0	1	hit
WinBig	307.2116	1.5679000000000087	1.0	1	hit
WinSmall	360.584	1.5290999999999713	1.0	1	hit
WinBig	165.4918	1.5713999999999828	0.0	1	miss
WinBig	192.7972	1.6014999999999873	0.0	1	miss
WinSmall	200.9312	1.5927000000000078	0.0	1	miss
WinBig	215.0838	1.6063000000000045	0.0	1	miss
WinBig	247.2554	1.5620999999999867	0.0	1	miss
WinSmall	318.3454	1.5579000000000178	0.0	1	miss
WinSmall	323.9144	1.573500000000024	0.0	1	miss
WinBig	329.5468	1.5653999999999542	0.0	1	miss
