condition	onset	duration	probeResp.corr	amplitude	trial_type
WinSmall	55.8049	1.616499999999995	1.0	1	hit
WinBig	91.0105	1.6463000000000108	1.0	1	hit
WinBig	125.0588	1.6922999999999888	1.0	1	hit
WinBig	132.1831	1.6928000000000054	1.0	1	hit
WinBig	149.044	1.6999999999999886	1.0	1	hit
WinBig	174.0292	1.716399999999993	1.0	1	hit
WinSmall	231.1323	1.7298000000000116	1.0	1	hit
WinBig	239.2466	1.7203000000000088	1.0	1	hit
WinBig	316.138	1.6502000000000407	1.0	1	hit
WinSmall	322.2887	1.6164999999999736	1.0	1	hit
WinSmall	336.0094	1.6463999999999714	1.0	1	hit
WinBig	347.7735	1.6329999999999814	1.0	1	hit
WinSmall	43.0538	1.6158000000000001	0.0	1	miss
WinSmall	110.8476	1.6598000000000042	0.0	1	miss
WinSmall	143.4174	1.7091000000000065	0.0	1	miss
WinSmall	160.7704	1.7240999999999929	0.0	1	miss
WinBig	187.2574	1.7387999999999977	0.0	1	miss
WinSmall	212.1983	1.7661000000000229	0.0	1	miss
WinBig	225.4493	1.796199999999999	0.0	1	miss
WinSmall	284.0525	1.6668999999999983	0.0	1	miss
