condition	onset	duration	probeResp.corr	amplitude	trial_type
WinBig	81.0389	1.542100000000005	1.0	1	hit
WinSmall	132.292	1.502600000000001	1.0	1	hit
WinSmall	149.2128	1.4968000000000075	1.0	1	hit
WinBig	162.2129	1.4972999999999956	1.0	1	hit
WinBig	175.1309	1.4976000000000056	1.0	1	hit
WinBig	212.4656	1.5431000000000097	1.0	1	hit
WinSmall	269.9232	1.4993000000000052	1.0	1	hit
WinBig	301.3843	1.4992000000000303	1.0	1	hit
WinSmall	307.3427	1.4978000000000407	1.0	1	hit
WinSmall	320.7605	1.5394000000000005	1.0	1	hit
WinBig	332.2607	1.540200000000027	1.0	1	hit
WinSmall	33.9536	1.6265999999999963	0.0	1	miss
WinSmall	46.4576	1.6216000000000008	0.0	1	miss
WinSmall	100.5021	1.4956999999999994	0.0	1	miss
WinBig	114.3756	1.5420999999999907	0.0	1	miss
WinBig	121.3338	1.5409000000000077	0.0	1	miss
WinBig	137.7503	1.5001999999999782	0.0	1	miss
WinSmall	199.4631	1.539999999999992	0.0	1	miss
WinSmall	217.9655	1.4971000000000174	0.0	1	miss
WinBig	225.9206	1.541799999999995	0.0	1	miss
