condition	onset	duration	probeResp.corr	amplitude	trial_type
WinSmall	68.1599	1.576100000000011	1.0	1	hit
WinBig	73.8027	1.5579999999999927	1.0	1	hit
WinBig	108.8294	1.6108999999999867	1.0	1	hit
WinSmall	144.5825	1.5795999999999992	1.0	1	hit
WinSmall	165.5147	1.5182000000000073	1.0	1	hit
WinSmall	204.2353	1.5004000000000133	1.0	1	hit
WinSmall	264.7062	1.5004999999999882	1.0	1	hit
WinBig	299.3925	1.499400000000037	1.0	1	hit
WinSmall	88.0111	1.5831000000000017	0.0	1	miss
WinBig	115.4743	1.6052999999999997	0.0	1	miss
WinBig	126.7095	1.6003999999999934	0.0	1	miss
WinSmall	132.364	1.5672999999999888	0.0	1	miss
WinSmall	151.746	1.5330999999999904	0.0	1	miss
WinBig	178.7669	1.5160999999999945	0.0	1	miss
WinBig	184.9007	1.5004000000000133	0.0	1	miss
WinBig	258.5766	1.5126999999999953	0.0	1	miss
WinBig	282.0462	1.4945000000000164	0.0	1	miss
WinSmall	310.6265	1.4995999999999867	0.0	1	miss
WinBig	334.0606	1.516999999999996	0.0	1	miss
WinSmall	339.6945	1.4995999999999867	0.0	1	miss
