condition	onset	duration	probeResp.corr	amplitude	trial_type
WinBig	56.7293	1.5497000000000014	1.0	1	hit
WinSmall	63.8461	1.5496000000000052	1.0	1	hit
WinBig	82.18	1.5673999999999921	1.0	1	hit
WinSmall	93.9317	1.5748999999999995	1.0	1	hit
WinBig	100.0324	1.5986000000000047	1.0	1	hit
WinSmall	124.4835	1.6435999999999922	1.0	1	hit
WinBig	130.1172	1.633100000000013	1.0	1	hit
WinSmall	157.5184	1.6662999999999784	1.0	1	hit
WinBig	276.1098	1.7162000000000148	1.0	1	hit
WinBig	318.5121	1.6675000000000182	1.0	1	hit
WinSmall	345.5318	1.6160000000000423	1.0	1	hit
WinSmall	75.0859	1.5604000000000013	0.0	1	miss
WinBig	112.2823	1.6006999999999891	0.0	1	miss
WinBig	202.7525	1.7172999999999945	0.0	1	miss
WinSmall	222.5717	1.7343999999999937	0.0	1	miss
WinSmall	238.3242	1.7324000000000126	0.0	1	miss
WinSmall	249.5585	1.7497999999999934	0.0	1	miss
WinBig	281.7766	1.6838000000000193	0.0	1	miss
WinBig	299.0943	1.700400000000002	0.0	1	miss
WinSmall	310.3331	1.7291000000000167	0.0	1	miss
