condition	onset	duration	probeResp.corr	amplitude	trial_type
WinBig	42.5752	1.6252999999999957	1.0	1	hit
WinSmall	93.1631	1.540300000000002	1.0	1	hit
WinSmall	108.6635	1.5404000000000053	1.0	1	hit
WinSmall	177.4984	1.5412000000000035	1.0	1	hit
WinSmall	201.4175	1.5005000000000166	1.0	1	hit
WinBig	206.8783	1.540300000000002	1.0	1	hit
WinBig	213.3762	1.5421999999999798	1.0	1	hit
WinBig	242.3344	1.583800000000025	1.0	1	hit
WinSmall	268.7539	1.5406000000000404	1.0	1	hit
WinBig	282.2546	1.540200000000027	1.0	1	hit
WinBig	293.7118	1.54200000000003	1.0	1	hit
WinBig	61.6215	1.5818000000000012	0.0	1	miss
WinSmall	80.6205	1.5823999999999927	0.0	1	miss
WinSmall	122.1223	1.541000000000011	0.0	1	miss
WinSmall	145.9587	1.5819000000000187	0.0	1	miss
WinSmall	224.8353	1.5827000000000169	0.0	1	miss
WinBig	255.7533	1.5823999999999785	0.0	1	miss
WinBig	332.6339	1.5819000000000187	0.0	1	miss
WinBig	338.1324	1.5833000000000084	0.0	1	miss
WinSmall	345.5925	1.5821000000000254	0.0	1	miss
