condition	onset	duration	probeResp.corr	amplitude	trial_type
WinSmall	84.3311	1.649799999999999	1.0	1	hit
WinBig	111.8264	1.6228999999999871	1.0	1	hit
WinSmall	128.6839	1.6495999999999924	1.0	1	hit
WinSmall	140.9185	1.6615999999999929	1.0	1	hit
WinBig	254.9616	1.546999999999997	1.0	1	hit
WinSmall	261.0923	1.5342999999999734	1.0	1	hit
WinBig	278.4771	1.515800000000013	1.0	1	hit
WinBig	330.5143	1.5076999999999998	1.0	1	hit
WinSmall	336.1471	1.5002999999999815	1.0	1	hit
WinSmall	64.404	1.6826000000000079	0.0	1	miss
WinBig	70.0545	1.6754999999999995	0.0	1	miss
WinBig	105.1921	1.6400000000000006	0.0	1	miss
WinBig	123.0507	1.6436999999999955	0.0	1	miss
WinSmall	148.0645	1.616500000000002	0.0	1	miss
WinSmall	161.8	1.6192999999999813	0.0	1	miss
WinBig	175.0349	1.633499999999998	0.0	1	miss
WinBig	181.1695	1.6006999999999891	0.0	1	miss
WinSmall	200.5217	1.5661999999999807	0.0	1	miss
WinBig	295.8508	1.4942000000000348	0.0	1	miss
WinSmall	307.0789	1.5001000000000317	0.0	1	miss
