condition	onset	duration	probeResp.corr	amplitude	trial_type
WinSmall	87.9438	1.638300000000001	1.0	1	hit
WinSmall	118.0145	1.6668999999999983	1.0	1	hit
WinBig	150.1185	1.6336999999999762	1.0	1	hit
WinSmall	176.5712	1.649000000000001	1.0	1	hit
WinBig	183.1875	1.6668999999999983	1.0	1	hit
WinSmall	232.0408	1.6499000000000024	1.0	1	hit
WinBig	245.8085	1.6332999999999913	1.0	1	hit
WinBig	297.8289	1.5658999999999992	1.0	1	hit
WinSmall	309.0794	1.559699999999964	1.0	1	hit
WinBig	320.3634	1.533399999999972	1.0	1	hit
WinSmall	351.3777	1.554399999999987	1.0	1	hit
WinBig	59.9963	1.616800000000005	0.0	1	miss
WinSmall	106.7633	1.6696000000000026	0.0	1	miss
WinSmall	124.1502	1.6501999999999981	0.0	1	miss
WinBig	155.7529	1.6163999999999987	0.0	1	miss
WinSmall	191.3076	1.646899999999988	0.0	1	miss
WinBig	205.5225	1.6828999999999894	0.0	1	miss
WinBig	212.656	1.667100000000005	0.0	1	miss
WinBig	237.6753	1.6493000000000109	0.0	1	miss
WinSmall	314.707	1.5681999999999903	0.0	1	miss
