condition	onset	duration	probeResp.corr	amplitude	trial_type
WinBig	46.2998	1.605400000000003	1.0	1	hit
WinBig	51.9152	1.6156000000000006	1.0	1	hit
WinBig	76.8872	1.6031999999999869	1.0	1	hit
WinBig	140.9602	1.6196000000000197	1.0	1	hit
WinBig	148.0967	1.6073000000000093	1.0	1	hit
WinSmall	155.7125	1.6140000000000043	1.0	1	hit
WinBig	220.3562	1.559599999999989	1.0	1	hit
WinSmall	225.9404	1.5589999999999975	1.0	1	hit
WinSmall	237.7251	1.5219999999999914	1.0	1	hit
WinBig	297.2325	1.5609000000000037	1.0	1	hit
WinBig	303.8002	1.5750999999999635	1.0	1	hit
WinSmall	349.1057	1.605199999999968	1.0	1	hit
WinSmall	40.6807	1.5983000000000018	0.0	1	miss
WinSmall	60.0186	1.6392999999999986	0.0	1	miss
WinBig	92.6383	1.6029000000000053	0.0	1	miss
WinSmall	174.4823	1.6371999999999787	0.0	1	miss
WinSmall	206.0207	1.6420999999999992	0.0	1	miss
WinBig	231.5554	1.5666999999999973	0.0	1	miss
WinSmall	277.3962	1.5628999999999564	0.0	1	miss
WinSmall	355.6898	1.6082000000000107	0.0	1	miss
