trial_type	onset	duration	key_response.corr
correct go	0.06360000000000099	1	1
correct go	1.813600000000001	1	1
correct go	3.8637000000000015	1	1
correct go	5.6137000000000015	1	1
correct stop	7.497100000000003	1	1
correct go	9.373000000000005	1	1
correct go	11.313200000000002	1	1
correct go	13.073500000000003	1	1
correct go	14.8885	1	1
correct go	16.622300000000003	1	1
correct go	18.4557	1	1
correct go	20.181400000000004	1	1
correct go	21.9247	1	1
correct go	23.7905	1	1
correct go	25.791000000000004	1	1
correct stop	27.648400000000002	1	1
correct go	29.6657	1	1
correct go	31.4769	1	1
correct go	34.075900000000004	1	1
failed go	35.8921	1	0
correct go	37.7418	1	1
correct go	39.475899999999996	1	1
correct go	41.3254	1	1
correct go	43.5594	1	1
correct go	45.3428	1	1
correct go	47.07640000000001	1	1
correct go	49.0663	1	1
correct go	50.845	1	1
correct go	52.5955	1	1
correct go	54.510400000000004	1	1
correct go	56.7277	1	1
correct go	59.428	1	1
failed go	61.2281	1	0
correct go	62.962599999999995	1	1
correct go	64.9788	1	1
correct go	66.746	1	1
correct stop	69.5153	1	1
correct go	71.36370000000001	1	1
correct go	73.0967	1	1
correct go	74.8634	1	1
correct stop	76.6995	1	1
correct go	78.6644	1	1
correct go	80.681	1	1
failed stop	82.4644	1	0
correct go	84.2318	1	1
correct go	86.0146	1	1
correct go	87.8152	1	1
correct go	89.6984	1	1
failed stop	91.4485	1	0
correct go	93.1985	1	1
correct go	95.4021	1	1
correct go	97.1667	1	1
correct stop	98.9166	1	1
correct go	100.8694	1	1
correct go	102.7342	1	1
correct stop	104.5169	1	1
failed go	106.6672	1	0
correct go	108.42219999999999	1	1
correct go	110.3345	1	1
correct go	112.08470000000001	1	1
correct go	114.4209	1	1
correct stop	116.26950000000001	1	1
correct go	118.45200000000001	1	1
correct go	121.3189	1	1
failed stop	123.1193	1	0
correct go	124.97179999999999	1	1
correct go	126.76960000000001	1	1
failed stop	128.5401	1	0
correct go	131.00619999999998	1	1
correct go	134.0378	1	1
correct go	137.07139999999998	1	1
failed stop	139.091	1	0
correct go	140.9393	1	1
correct go	143.1055	1	1
failed stop	144.97250000000003	1	0
correct go	146.7557	1	1
correct go	148.60649999999998	1	1
correct stop	150.35649999999998	1	1
correct go	152.30689999999998	1	1
correct go	154.37369999999999	1	1
failed stop	156.1562	1	0
correct go	157.9063	1	1
correct go	159.6735	1	1
correct go	161.50709999999998	1	1
correct go	163.25740000000002	1	1
correct go	165.20749999999998	1	1
correct go	167.24079999999998	1	1
correct stop	169.4414	1	1
correct go	171.20780000000002	1	1
correct go	173.89159999999998	1	1
correct go	175.97469999999998	1	1
correct go	178.5917	1	1
correct go	180.75799999999998	1	1
correct go	182.7081	1	1
correct go	184.8755	1	1
correct go	186.67559999999997	1	1
correct go	188.42579999999998	1	1
correct go	190.9592	1	1
correct go	192.75850000000003	1	1
correct go	194.62619999999998	1	1
correct go	196.57600000000002	1	1
correct go	198.3096	1	1
correct go	200.2264	1	1
correct go	202.47660000000002	1	1
correct go	204.8438	1	1
correct go	206.6477	1	1
correct go	208.39370000000002	1	1
correct go	210.14370000000002	1	1
correct stop	211.9271	1	1
correct go	214.16070000000002	1	1
correct go	215.9941	1	1
correct stop	218.24419999999998	1	1
correct go	220.0279	1	1
correct go	222.0779	1	1
correct go	223.81150000000002	1	1
failed stop	226.2493	1	0
correct go	227.97820000000002	1	1
failed go	229.96179999999998	1	0
correct go	232.0285	1	1
correct go	233.77859999999998	1	1
failed stop	235.6288	1	0
correct go	237.49509999999998	1	1
correct go	239.41269999999997	1	1
correct go	241.49559999999997	1	1
correct go	243.2881	1	1
correct go	245.03589999999997	1	1
failed stop	247.0358	1	0
correct go	248.87149999999997	1	1
correct go	251.0711	1	1
correct go	252.8465	1	1
correct go	254.6966	1	1
correct stop	256.5465	1	1
correct go	258.3631	1	1
correct go	260.5632	1	1
correct go	262.6972	1	1
correct go	264.42359999999996	1	1
correct go	266.5557	1	1
failed stop	268.35589999999996	1	0
correct go	270.4059	1	1
correct go	272.14	1	1
correct go	273.8745	1	1
correct stop	275.6229	1	1
correct go	277.3913	1	1
correct go	279.1816	1	1
correct go	281.3151	1	1
correct go	283.1242	1	1
correct go	285.3263	1	1
correct go	287.0592	1	1
correct stop	288.7989	1	1
correct go	290.9652	1	1
correct go	292.6927	1	1
correct go	295.0763	1	1
correct go	297.0487	1	1
failed stop	298.9353	1	0
correct go	300.9173	1	1
correct go	302.6789	1	1
correct go	304.7102	1	1
correct stop	306.5104	1	1
correct go	308.3601	1	1
correct go	310.1778	1	1
correct go	312.0612	1	1
correct go	314.1451	1	1
correct go	316.395	1	1
correct go	318.4452	1	1
correct go	320.2787	1	1
correct go	322.0129	1	1
correct stop	323.8512	1	1
correct go	325.746	1	1
failed go	327.6461	1	0
correct go	329.6126	1	1
correct go	331.47999999999996	1	1
correct go	333.852	1	1
correct go	335.7811	1	1
failed stop	338.0306	1	0
correct go	340.6476	1	1
correct go	342.4652	1	1
correct go	344.31489999999997	1	1
correct go	346.1821	1	1
failed stop	348.0866	1	0
correct go	349.9327	1	1
