trial_type	onset	duration	key_response.corr
correct go	0.05089999999999861	1	1
correct go	1.9801000000000002	1	1
correct stop	3.751100000000001	1	1
correct go	5.5306	1	1
correct go	7.330199999999998	1	1
correct stop	9.279600000000002	1	1
correct go	11.0306	1	1
correct go	12.780999999999999	1	1
correct go	14.564300000000003	1	1
correct go	16.3812	1	1
correct go	18.4309	1	1
correct go	20.2147	1	1
correct go	21.981499999999997	1	1
correct go	23.7483	1	1
failed go	25.840000000000003	1	0
failed stop	27.798699999999997	1	0
correct go	30.0653	1	1
correct go	32.015499999999996	1	1
correct go	34.1578	1	1
correct go	35.899300000000004	1	1
correct go	38.699400000000004	1	1
correct go	40.5495	1	1
correct go	42.80950000000001	1	1
correct stop	44.868100000000005	1	1
correct go	46.6325	1	1
correct go	48.666000000000004	1	1
correct go	50.4502	1	1
correct go	52.1835	1	1
correct go	54.4425	1	1
failed go	56.3671	1	0
failed stop	58.250499999999995	1	0
correct go	60.024499999999996	1	1
correct go	61.7601	1	1
failed stop	63.734100000000005	1	0
correct go	65.65119999999999	1	1
correct go	67.72649999999999	1	1
correct go	69.58449999999999	1	1
correct stop	71.7182	1	1
correct go	73.54400000000001	1	1
correct go	75.4845	1	1
correct go	77.26830000000001	1	1
correct go	79.3846	1	1
correct go	81.22989999999999	1	1
correct go	82.9958	1	1
failed stop	84.98509999999999	1	0
correct go	86.76259999999999	1	1
failed go	88.60239999999999	1	0
correct go	90.4854	1	1
correct go	92.46960000000001	1	1
correct go	94.19639999999998	1	1
correct stop	95.9965	1	1
correct go	98.11329999999998	1	1
correct go	99.9299	1	1
correct go	101.7646	1	1
correct go	103.4974	1	1
correct go	105.55359999999999	1	1
correct stop	107.3534	1	1
correct go	109.215	1	1
correct go	110.99779999999998	1	1
correct go	112.7654	1	1
correct go	114.6156	1	1
failed stop	116.67249999999999	1	0
correct go	118.5669	1	1
correct go	120.3003	1	1
correct stop	122.13319999999999	1	1
correct go	123.9505	1	1
correct go	125.8672	1	1
correct go	127.66719999999998	1	1
correct go	129.4178	1	1
correct stop	131.2338	1	1
correct go	133.4347	1	1
correct go	135.2852	1	1
correct go	137.4184	1	1
correct go	139.1854	1	1
correct go	140.9357	1	1
failed stop	142.68959999999998	1	0
correct go	144.5356	1	1
correct go	146.4865	1	1
failed go	148.26999999999998	1	0
failed stop	150.12	1	0
correct go	151.8538	1	1
correct go	153.9707	1	1
correct go	156.0213	1	1
correct go	157.771	1	1
correct stop	159.5872	1	1
correct go	161.65449999999998	1	1
correct go	163.9551	1	1
correct go	166.1386	1	1
failed go	168.006	1	0
correct stop	169.9081	1	1
correct go	171.92329999999998	1	1
correct go	173.8065	1	1
correct go	175.70669999999998	1	1
correct go	177.5076	1	1
correct go	179.24079999999998	1	1
correct stop	181.0573	1	1
correct go	183.3746	1	1
correct go	185.1246	1	1
correct go	187.3752	1	1
correct go	189.4424	1	1
correct go	191.24179999999998	1	1
correct go	193.0094	1	1
correct go	194.8096	1	1
correct go	196.62609999999998	1	1
failed stop	198.4094	1	0
correct go	200.2929	1	1
correct go	202.0259	1	1
correct go	203.8777	1	1
correct go	205.6931	1	1
failed stop	207.5265	1	0
correct go	209.327	1	1
correct go	211.3269	1	1
correct go	213.2274	1	1
correct go	215.293	1	1
correct stop	217.17749999999998	1	1
correct go	219.0104	1	1
correct go	221.0613	1	1
failed stop	223.32989999999998	1	0
correct go	225.11069999999998	1	1
correct go	227.1118	1	1
correct stop	229.01149999999998	1	1
correct go	230.81179999999998	1	1
correct go	232.62769999999998	1	1
correct go	234.4782	1	1
correct go	236.71169999999998	1	1
correct go	238.5454	1	1
correct go	240.8617	1	1
correct go	242.93359999999998	1	1
correct go	244.92940000000002	1	1
failed stop	246.91279999999998	1	0
correct go	248.76199999999997	1	1
correct go	250.9464	1	1
failed go	252.696	1	0
correct go	254.4795	1	1
correct go	256.47970000000004	1	1
correct go	258.2969	1	1
correct go	260.0804	1	1
failed stop	262.0971	1	0
correct go	263.8971	1	1
correct go	265.68080000000003	1	1
correct go	267.6807	1	1
correct go	269.88120000000004	1	1
correct go	271.8312	1	1
correct go	273.9646	1	1
correct go	275.76460000000003	1	1
correct go	277.5314	1	1
correct go	279.36510000000004	1	1
correct go	281.598	1	1
correct go	283.3987	1	1
correct go	285.19800000000004	1	1
correct stop	286.96540000000005	1	1
correct go	288.8824	1	1
correct go	290.73170000000005	1	1
correct go	292.51570000000004	1	1
correct go	295.1406	1	1
correct go	297.1494	1	1
failed stop	298.9571	1	0
correct go	300.7991	1	1
correct go	302.583	1	1
correct go	304.9828	1	1
failed go	307.2495	1	0
correct go	309.1757	1	1
correct go	311.3602	1	1
correct go	313.47700000000003	1	1
correct go	315.3337	1	1
correct go	317.3339	1	1
correct stop	319.1609	1	1
correct go	320.9176	1	1
correct go	322.68460000000005	1	1
correct go	324.49330000000003	1	1
failed stop	326.44280000000003	1	0
correct go	328.2611	1	1
correct go	330.1793	1	1
correct go	332.07800000000003	1	1
correct go	334.62690000000003	1	1
correct go	336.5681	1	1
correct go	338.36220000000003	1	1
correct go	340.1112	1	1
correct stop	342.0042	1	1
correct go	343.81170000000003	1	1
