trial_type	onset	duration	key_response.corr
correct go	0.05129999999999768	1	1
correct go	1.8948999999999998	1	1
correct go	3.660999999999998	1	1
correct go	6.695399999999999	1	1
correct go	8.5687	1	1
correct go	10.595199999999998	1	1
failed go	13.2961	1	0
correct go	15.028699999999997	1	1
correct go	16.7621	1	1
correct stop	19.013099999999998	1	1
correct go	20.929999999999996	1	1
correct go	22.879899999999996	1	1
correct go	24.623699999999996	1	1
correct go	26.521399999999996	1	1
correct go	28.613400000000002	1	1
failed stop	31.0722	1	0
correct go	32.82339999999999	1	1
correct go	34.6465	1	1
correct go	36.507999999999996	1	1
correct go	38.373599999999996	1	1
correct go	40.2084	1	1
correct stop	41.99249999999999	1	1
correct go	43.77539999999999	1	1
correct go	45.507999999999996	1	1
correct go	47.34769999999999	1	1
correct go	49.0757	1	1
correct go	51.174899999999994	1	1
correct go	52.9602	1	1
correct go	54.7094	1	1
correct go	56.64179999999999	1	1
correct go	58.4751	1	1
correct stop	60.692099999999996	1	1
correct go	62.4598	1	1
correct go	64.1934	1	1
correct go	66.0933	1	1
correct go	67.82719999999999	1	1
correct go	70.03309999999999	1	1
correct go	71.8489	1	1
correct go	73.6609	1	1
correct go	75.42859999999999	1	1
correct go	77.3112	1	1
correct go	79.1631	1	1
failed stop	80.97959999999999	1	0
correct go	82.71289999999999	1	1
correct go	84.4962	1	1
failed go	86.56259999999999	1	0
correct stop	88.75099999999999	1	1
correct go	90.76679999999999	1	1
correct go	92.7967	1	1
correct go	94.96419999999999	1	1
failed stop	96.7641	1	0
correct go	98.7644	1	1
correct go	100.94789999999999	1	1
failed stop	103.0313	1	0
correct go	104.7983	1	1
correct go	107.2984	1	1
correct go	109.0323	1	1
correct go	111.1153	1	1
correct go	113.45139999999999	1	1
correct go	115.3994	1	1
correct go	117.4997	1	1
correct go	119.301	1	1
correct go	121.3507	1	1
correct go	123.26889999999999	1	1
correct go	125.2682	1	1
correct stop	127.20299999999999	1	1
failed go	129.018	1	0
failed go	130.7684	1	0
correct go	132.8685	1	1
correct go	135.6191	1	1
correct go	137.4358	1	1
correct go	139.5693	1	1
correct stop	141.43630000000002	1	1
correct go	143.186	1	1
failed go	145.13680000000002	1	0
failed stop	147.4713	1	0
correct go	149.7707	1	1
correct go	151.6378	1	1
correct go	153.5548	1	1
correct go	155.3717	1	1
correct stop	157.27210000000002	1	1
correct go	159.1716	1	1
correct stop	160.9882	1	1
correct go	162.7878	1	1
correct go	164.6055	1	1
correct go	167.5557	1	1
correct go	169.3229	1	1
failed stop	171.2049	1	0
correct go	173.0053	1	1
correct go	174.889	1	1
correct go	176.7396	1	1
correct go	178.4899	1	1
correct go	180.2406	1	1
failed stop	182.1902	1	0
correct go	184.07340000000002	1	1
correct go	186.6233	1	1
correct go	188.3899	1	1
correct stop	190.7906	1	1
correct go	192.8075	1	1
failed go	194.60770000000002	1	0
correct go	196.34050000000002	1	1
correct go	198.17430000000002	1	1
correct go	200.0412	1	1
failed go	202.1078	1	0
correct stop	204.0747	1	1
correct go	205.90820000000002	1	1
correct go	207.8751	1	1
correct go	209.67530000000002	1	1
correct go	211.4255	1	1
correct stop	213.47570000000002	1	1
correct go	215.27550000000002	1	1
correct go	217.0919	1	1
correct go	218.8588	1	1
failed stop	220.7423	1	0
correct go	222.6585	1	1
correct go	225.60940000000002	1	1
failed go	227.51000000000002	1	0
failed go	229.2433	1	0
failed stop	231.09290000000001	1	0
correct go	233.193	1	1
correct go	235.2936	1	1
correct go	237.11030000000002	1	1
correct go	239.06050000000002	1	1
failed stop	241.09369999999998	1	0
failed go	242.8273	1	0
correct go	244.6108	1	1
failed go	246.811	1	0
correct stop	248.81000000000003	1	1
failed go	250.56050000000002	1	0
failed go	252.2775	1	0
correct go	254.49460000000002	1	1
correct go	256.3614	1	1
correct go	258.6117	1	1
failed stop	260.6445	1	0
correct go	262.4617	1	1
correct go	264.2283	1	1
failed go	266.52889999999996	1	0
correct go	268.2623	1	1
failed go	270.0216	1	0
failed go	271.9626	1	0
correct stop	273.72069999999997	1	1
failed go	275.5958	1	0
failed go	277.3058	1	0
correct stop	279.09619999999995	1	1
correct go	280.82959999999997	1	1
correct go	282.63009999999997	1	1
correct go	284.72999999999996	1	1
correct go	286.59619999999995	1	1
correct go	288.5297	1	1
correct go	290.274	1	1
correct go	292.25739999999996	1	1
correct go	294.0637	1	1
correct go	296.3972	1	1
correct go	298.3143	1	1
correct go	300.8144	1	1
correct go	302.9574	1	1
correct go	304.7743	1	1
correct go	306.5266	1	1
correct go	308.4412	1	1
failed stop	310.375	1	0
failed go	312.442	1	0
failed go	314.19219999999996	1	0
correct go	315.94309999999996	1	1
correct go	317.77619999999996	1	1
correct go	319.693	1	1
failed stop	321.63149999999996	1	0
correct go	323.7772	1	1
correct go	325.5442	1	1
correct stop	327.34389999999996	1	1
correct go	329.1606	1	1
correct go	330.92789999999997	1	1
correct go	332.86159999999995	1	1
correct go	334.5952	1	1
correct go	336.3453	1	1
correct go	338.2956	1	1
failed stop	340.0451	1	0
correct go	341.7967	1	1
correct go	343.5463	1	1
correct stop	345.613	1	1
correct go	347.4133	1	1
