trial_type	onset	duration	key_response.corr
correct go	0.06080000000000041	1	1
correct go	2.037700000000001	1	1
correct stop	3.843200000000003	1	1
correct go	5.8297000000000025	1	1
correct go	7.746099999999998	1	1
correct stop	9.524700000000003	1	1
correct go	11.2879	1	1
correct go	13.204500000000003	1	1
correct go	15.041600000000003	1	1
correct stop	16.8928	1	1
correct go	18.662599999999998	1	1
correct go	20.4137	1	1
failed stop	22.193199999999997	1	0
correct go	24.121699999999997	1	1
correct go	26.2922	1	1
correct go	28.747099999999996	1	1
correct go	30.540299999999995	1	1
correct go	32.3323	1	1
correct stop	34.0862	1	1
correct go	35.9994	1	1
correct go	37.832600000000006	1	1
correct go	39.749500000000005	1	1
correct stop	41.684000000000005	1	1
correct go	43.622800000000005	1	1
failed go	45.372499999999995	1	0
correct go	47.1698	1	1
correct stop	49.0652	1	1
correct go	51.1647	1	1
correct go	52.919999999999995	1	1
correct go	54.750400000000006	1	1
correct go	56.541500000000006	1	1
correct go	58.5405	1	1
correct go	60.66779999999999	1	1
failed stop	62.46360000000001	1	0
correct go	64.20849999999999	1	1
correct go	66.20689999999999	1	1
correct go	68.41810000000001	1	1
correct go	70.25909999999999	1	1
correct go	72.4992	1	1
correct go	74.3364	1	1
correct stop	76.56649999999999	1	1
correct go	78.6659	1	1
failed go	80.79920000000001	1	0
correct go	82.7079	1	1
correct stop	84.4606	1	1
correct go	86.2935	1	1
correct go	88.2091	1	1
correct go	90.00450000000001	1	1
correct go	91.91659999999999	1	1
correct go	93.70860000000002	1	1
failed stop	95.6865	1	0
correct go	98.00050000000002	1	1
correct go	99.7936	1	1
correct go	101.58510000000001	1	1
correct go	103.5017	1	1
correct stop	105.35480000000001	1	1
failed go	107.2921	1	0
correct go	109.00319999999999	1	1
correct go	111.006	1	1
correct go	112.7928	1	1
correct go	114.62890000000002	1	1
correct stop	116.5058	1	1
correct go	118.71430000000001	1	1
correct go	120.45940000000002	1	1
failed go	122.4212	1	0
failed go	124.58840000000001	1	0
failed go	126.3407	1	0
correct stop	128.3578	1	1
correct go	130.335	1	1
correct go	132.4233	1	1
correct go	134.5851	1	1
correct go	136.9194	1	1
correct go	139.0024	1	1
correct go	140.882	1	1
correct go	142.8373	1	1
correct go	144.96620000000001	1	1
correct go	147.1707	1	1
correct go	149.42090000000002	1	1
correct go	151.21210000000002	1	1
correct go	153.12900000000002	1	1
failed stop	155.0087	1	0
correct go	156.92170000000002	1	1
correct go	158.7141	1	1
correct go	160.6713	1	1
correct go	163.0447	1	1
correct go	165.0112	1	1
failed stop	166.8427	1	0
correct go	168.5892	1	1
correct go	170.33950000000002	1	1
correct go	172.35160000000002	1	1
correct go	174.1288	1	1
correct go	176.1303	1	1
correct go	178.4666	1	1
correct go	180.2955	1	1
correct go	182.04670000000002	1	1
correct go	183.8064	1	1
correct go	185.8375	1	1
correct go	187.79760000000002	1	1
correct go	189.8393	1	1
correct go	191.7181	1	1
correct go	193.5478	1	1
correct go	195.3787	1	1
failed stop	197.3856	1	0
correct go	199.1802	1	1
correct go	201.5991	1	1
correct stop	203.3667	1	1
correct go	205.1302	1	1
correct go	207.5498	1	1
correct go	210.2563	1	1
correct go	212.1305	1	1
failed go	213.9648	1	0
correct go	215.8006	1	1
correct go	217.6724	1	1
correct stop	219.4437	1	1
correct go	221.2556	1	1
correct go	223.13110000000003	1	1
failed stop	225.07180000000002	1	0
failed go	227.17300000000003	1	0
correct go	228.9258	1	1
correct go	230.67249999999999	1	1
failed go	233.0898	1	0
correct stop	234.8817	1	1
correct go	237.29749999999999	1	1
correct go	239.59009999999998	1	1
correct go	241.5508	1	1
correct go	243.55339999999998	1	1
failed stop	245.44360000000003	1	0
failed go	247.2574	1	0
correct go	249.05230000000003	1	1
correct go	250.80140000000003	1	1
correct go	252.59459999999999	1	1
correct go	254.427	1	1
correct go	256.2602	1	1
failed stop	258.31629999999996	1	0
failed go	260.1733	1	0
correct go	262.0139	1	1
correct go	264.2159	1	1
failed stop	266.4728	1	0
correct go	268.26439999999997	1	1
correct go	270.05249999999995	1	1
correct go	271.801	1	1
failed stop	273.6119	1	0
correct go	275.50829999999996	1	1
correct go	277.344	1	1
correct stop	279.1527	1	1
correct go	281.1742	1	1
correct go	283.1377	1	1
correct stop	284.98589999999996	1	1
correct go	287.00879999999995	1	1
correct go	288.7616	1	1
correct go	290.6798	1	1
correct go	292.51059999999995	1	1
correct go	294.30289999999997	1	1
correct go	296.096	1	1
correct stop	297.9733	1	1
correct go	299.9281	1	1
correct go	301.75899999999996	1	1
correct go	303.55269999999996	1	1
correct go	306.47119999999995	1	1
correct go	308.51279999999997	1	1
correct go	310.6348	1	1
correct go	312.38599999999997	1	1
correct go	314.3433	1	1
correct go	316.30179999999996	1	1
correct stop	318.1545	1	1
correct go	320.0103	1	1
correct go	321.7637	1	1
failed go	323.5537	1	0
correct go	325.26329999999996	1	1
correct go	327.1798	1	1
correct go	328.97159999999997	1	1
failed stop	330.7272	1	0
correct go	333.01739999999995	1	1
correct go	335.01099999999997	1	1
correct go	336.8041	1	1
correct go	338.7197	1	1
correct go	340.722	1	1
correct go	342.5967	1	1
correct go	344.3474	1	1
correct go	346.1774	1	1
